what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1258409183829
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258409188220
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258409219439
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258409220595
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258409220595
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258409220705
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258409227189
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1258409229377
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258409258300
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258409260128
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258409263347
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258409265034
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258409276863
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258409276863
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258409277050
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258409281706
started,bundle,org.eclipse.mylyn.java.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.java.ui",1258409303769
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.hippieCompletion",1258409324770
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258409329114
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258409330536
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258409332551
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258409333473
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258409341755
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258409343114
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258409344771
